"IPR","gene","description"
"IPR003958","EfaB_PLUS_17907.g1573","Transcription factor CBF/NF-Y/archaeal histone"
"IPR003958","EfaB_PLUS_5727.g506","Transcription factor CBF/NF-Y/archaeal histone"
"IPR003959","EfaB_MINUS_6743.g600","ATPase, AAA-type, core"
"IPR003959","EfaB_PLUS_4114.g407","ATPase, AAA-type, core"
"IPR003959","EfaB_MINUS_43533.g2773","ATPase, AAA-type, core"
"IPR003959","EfaB_MINUS_6743.g622","ATPase, AAA-type, core"
"IPR003959","EfaB_PLUS_56725.g2858","ATPase, AAA-type, core"
"IPR003959","EfaB_MINUS_25052.g2119","ATPase, AAA-type, core"
"IPR003959","EfaB_PLUS_3407.g341","ATPase, AAA-type, core"
"IPR003959","EfaB_MINUS_27770.g2303","ATPase, AAA-type, core"
"IPR003959","EfaB_MINUS_4891.g454","ATPase, AAA-type, core"
"IPR003959","EfaB_MINUS_36188.g2585","ATPase, AAA-type, core"
"IPR003959","EfaB_PLUS_3222.g331","ATPase, AAA-type, core"
"IPR003959","EfaB_MINUS_6743.g621","ATPase, AAA-type, core"
"IPR003959","EfaB_PLUS_13227.g1141","ATPase, AAA-type, core"
"IPR003959","EfaB_PLUS_18869.g1595","ATPase, AAA-type, core"
"IPR003959","EfaB_PLUS_4114.g409","ATPase, AAA-type, core"
"IPR003959","EfaB_MINUS_33184.g2481","ATPase, AAA-type, core"
"IPR003959","EfaB_PLUS_20371.g1686","ATPase, AAA-type, core"
"IPR003959","EfaB_PLUS_8817.g864","ATPase, AAA-type, core"
"IPR003959","EfaB_PLUS_15648.g1311","ATPase, AAA-type, core"
"IPR003959","EfaB_MINUS_28261.g2334","ATPase, AAA-type, core"
"IPR003959","EfaB_PLUS_6743.g629","ATPase, AAA-type, core"
"IPR003959","EfaB_MINUS_12616.g1113","ATPase, AAA-type, core"
"IPR003959","EfaB_MINUS_23143.g1999","ATPase, AAA-type, core"
"IPR003959","EfaB_PLUS_39892.g2554","ATPase, AAA-type, core"
"IPR003959","EfaB_MINUS_13227.g1161","ATPase, AAA-type, core"
"IPR003959","EfaB_MINUS_17096.g1519","ATPase, AAA-type, core"
"IPR003959","EfaB_MINUS_11414.g998","ATPase, AAA-type, core"
"IPR003959","EfaB_MINUS_23272.g2042","ATPase, AAA-type, core"
"IPR003959","EfaB_PLUS_193.g7","ATPase, AAA-type, core"
"IPR003959","EfaB_MINUS_28918.g2341","ATPase, AAA-type, core"
"IPR003959","EfaB_MINUS_36188.g2587","ATPase, AAA-type, core"
"IPR003959","EfaB_MINUS_22450.g1922","ATPase, AAA-type, core"
"IPR003959","EfaB_MINUS_26136.g2231","ATPase, AAA-type, core"
"IPR003959","EfaB_MINUS_2387.g279","ATPase, AAA-type, core"
"IPR003960","EfaB_MINUS_36188.g2587","ATPase, AAA-type, conserved site"
"IPR003960","EfaB_PLUS_3407.g341","ATPase, AAA-type, conserved site"
"IPR003960","EfaB_PLUS_3222.g331","ATPase, AAA-type, conserved site"
"IPR003960","EfaB_MINUS_27770.g2303","ATPase, AAA-type, conserved site"
"IPR003960","EfaB_MINUS_4891.g454","ATPase, AAA-type, conserved site"
"IPR003960","EfaB_PLUS_6743.g629","ATPase, AAA-type, conserved site"
"IPR003960","EfaB_MINUS_23143.g1999","ATPase, AAA-type, conserved site"
"IPR003960","EfaB_PLUS_193.g7","ATPase, AAA-type, conserved site"
"IPR003960","EfaB_PLUS_39892.g2554","ATPase, AAA-type, conserved site"
"IPR003960","EfaB_PLUS_15648.g1311","ATPase, AAA-type, conserved site"
"IPR003960","EfaB_PLUS_13227.g1141","ATPase, AAA-type, conserved site"
"IPR003960","EfaB_MINUS_22450.g1922","ATPase, AAA-type, conserved site"
"IPR003960","EfaB_MINUS_43533.g2773","ATPase, AAA-type, conserved site"
"IPR003960","EfaB_PLUS_8817.g864","ATPase, AAA-type, conserved site"
"IPR003960","EfaB_MINUS_11414.g998","ATPase, AAA-type, conserved site"
"IPR003960","EfaB_MINUS_36188.g2585","ATPase, AAA-type, conserved site"
"IPR003960","EfaB_PLUS_18869.g1595","ATPase, AAA-type, conserved site"
"IPR003960","EfaB_MINUS_2387.g279","ATPase, AAA-type, conserved site"
"IPR003960","EfaB_MINUS_17096.g1519","ATPase, AAA-type, conserved site"
"IPR003960","EfaB_PLUS_4114.g409","ATPase, AAA-type, conserved site"
"IPR003961","EfaB_MINUS_42416.g2686","Fibronectin, type III"
"IPR004000","EfaB_MINUS_1048.g119","Actin-like"
"IPR004000","EfaB_PLUS_2074.g233","Actin-like"
"IPR004000","EfaB_MINUS_4849.g442","Actin-like"
"IPR004000","EfaB_PLUS_4114.g414","Actin-like"
"IPR004000","EfaB_PLUS_13398.g1171","Actin-like"
"IPR004000","EfaB_MINUS_5792.g544","Actin-like"
"IPR004000","EfaB_PLUS_22284.g1810","Actin-like"
"IPR004000","EfaB_MINUS_1048.g124","Actin-like"
"IPR004000","EfaB_MINUS_47595.g2792","Actin-like"
"IPR004000","EfaB_MINUS_5086.g459","Actin-like"
"IPR004000","EfaB_PLUS_20371.g1693","Actin-like"
"IPR004001","EfaB_PLUS_4114.g414","Actin, conserved site"
"IPR004001","EfaB_MINUS_5086.g459","Actin, conserved site"
"IPR004001","EfaB_PLUS_22284.g1810","Actin, conserved site"
"IPR004001","EfaB_PLUS_2074.g233","Actin, conserved site"
"IPR004009","EfaB_MINUS_25177.g2137","Myosin, N-terminal, SH3-like"
"IPR004014","EfaB_MINUS_40565.g2659","ATPase, P-type cation-transporter, N-terminal"
"IPR004014","EfaB_MINUS_720.g51","ATPase, P-type cation-transporter, N-terminal"
"IPR004014","EfaB_MINUS_25177.g2146","ATPase, P-type cation-transporter, N-terminal"
"IPR004014","EfaB_MINUS_32574.g2473","ATPase, P-type cation-transporter, N-terminal"
"IPR004014","EfaB_MINUS_18472.g1656","ATPase, P-type cation-transporter, N-terminal"
"IPR004015","EfaB_PLUS_15724.g1361","SKI-interacting protein SKIP, SNW domain"
"IPR004023","EfaB_MINUS_7048.g664","Mago nashi protein"
"IPR004033","EfaB_PLUS_40637.g2581","UbiE/COQ5 methyltransferase"
"IPR004035","EfaB_MINUS_17702.g1587","Endonuclease III, iron-sulphur binding site"
"IPR004037","EfaB_PLUS_49504.g2685","Ribosomal protein L7Ae conserved site"
"IPR004037","EfaB_MINUS_53301.g2893","Ribosomal protein L7Ae conserved site"
"IPR004038","EfaB_PLUS_49504.g2685","Ribosomal protein L7Ae/L30e/S12e/Gadd45"
"IPR004038","EfaB_MINUS_23210.g2011","Ribosomal protein L7Ae/L30e/S12e/Gadd45"
"IPR004038","EfaB_MINUS_53301.g2893","Ribosomal protein L7Ae/L30e/S12e/Gadd45"
"IPR004039","EfaB_PLUS_15648.g1340","Rubredoxin-type fold"
"IPR004043","EfaB_PLUS_7048.g679","LCCL"
"IPR004043","EfaB_MINUS_15745.g1419","LCCL"
"IPR004043","EfaB_MINUS_2387.g298","LCCL"
"IPR004043","EfaB_PLUS_13222.g1124","LCCL"
"IPR004044","EfaB_PLUS_7742.g798","K Homology domain, type 2"
"IPR004045","EfaB_MINUS_7099.g711","Glutathione S-transferase, N-terminal"
"IPR004045","EfaB_PLUS_2387.g276","Glutathione S-transferase, N-terminal"
"IPR004045","EfaB_MINUS_6743.g620","Glutathione S-transferase, N-terminal"
"IPR004046","EfaB_MINUS_7099.g711","Glutathione S-transferase, C-terminal"
"IPR004057","EfaB_MINUS_9917.g896","Epsilon tubulin"
"IPR004087","EfaB_MINUS_15576.g1319","K Homology domain"
"IPR004087","EfaB_MINUS_6035.g566","K Homology domain"
"IPR004087","EfaB_MINUS_28918.g2340","K Homology domain"
"IPR004087","EfaB_PLUS_56725.g2820","K Homology domain"
"IPR004087","EfaB_PLUS_23143.g1913","K Homology domain"
"IPR004087","EfaB_MINUS_56725.g2954","K Homology domain"
"IPR004087","EfaB_MINUS_33184.g2488","K Homology domain"
"IPR004087","EfaB_MINUS_22494.g1957","K Homology domain"
"IPR004088","EfaB_PLUS_56725.g2820","K Homology domain, type 1"
"IPR004088","EfaB_PLUS_28105.g2219","K Homology domain, type 1"
"IPR004088","EfaB_MINUS_15576.g1319","K Homology domain, type 1"
"IPR004088","EfaB_MINUS_28918.g2340","K Homology domain, type 1"
"IPR004088","EfaB_MINUS_56725.g2954","K Homology domain, type 1"
"IPR004088","EfaB_MINUS_22494.g1957","K Homology domain, type 1"
"IPR004088","EfaB_PLUS_23143.g1913","K Homology domain, type 1"
"IPR004088","EfaB_MINUS_6035.g566","K Homology domain, type 1"
"IPR004088","EfaB_MINUS_33184.g2488","K Homology domain, type 1"
"IPR004095","EfaB_PLUS_7048.g695","TGS"
"IPR004095","EfaB_PLUS_13222.g1118","TGS"
"IPR004099","EfaB_PLUS_7742.g767","Pyridine nucleotide-disulphide oxidoreductase, dimerisation"
"IPR004099","EfaB_PLUS_17096.g1470","Pyridine nucleotide-disulphide oxidoreductase, dimerisation"
"IPR004099","EfaB_MINUS_56725.g2941","Pyridine nucleotide-disulphide oxidoreductase, dimerisation"
"IPR004099","EfaB_PLUS_23210.g1941","Pyridine nucleotide-disulphide oxidoreductase, dimerisation"
"IPR004099","EfaB_PLUS_15648.g1307","Pyridine nucleotide-disulphide oxidoreductase, dimerisation"
"IPR004100","EfaB_MINUS_32574.g2451","ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal"
"IPR004100","EfaB_PLUS_26831.g2171","ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal"
"IPR004100","EfaB_MINUS_34020.g2562","ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal"
"IPR004100","EfaB_PLUS_12065.g1041","ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal"
"IPR004102","EfaB_MINUS_13385.g1194","Poly(ADP-ribose) polymerase, regulatory domain"
"IPR004106","EfaB_MINUS_3973.g394","Peptidase S9A/B/C, oligopeptidase, N-terminal beta-propeller"
"IPR004108","EfaB_PLUS_228.g28","Iron hydrogenase, large subunit, C-terminal"
"IPR004113","EfaB_PLUS_5788.g517","FAD-linked oxidase, C-terminal"
"IPR004113","EfaB_PLUS_13227.g1139","FAD-linked oxidase, C-terminal"
"IPR004113","EfaB_PLUS_16835.g1429","FAD-linked oxidase, C-terminal"
"IPR004123","EfaB_MINUS_33184.g2492","mRNA splicing factor, thioredoxin-like U5 snRNP"
"IPR004127","EfaB_MINUS_16835.g1502","Prefoldin subunit"
"IPR004127","EfaB_MINUS_34010.g2559","Prefoldin subunit"
"IPR004127","EfaB_MINUS_25052.g2117","Prefoldin subunit"
"IPR004129","EfaB_MINUS_17400.g1579","Glycerophosphoryl diester phosphodiesterase"
"IPR004130","EfaB_MINUS_24074.g2050","Uncharacterised protein family, ATP binding"
"IPR004130","EfaB_MINUS_15765.g1450","Uncharacterised protein family, ATP binding"
"IPR004130","EfaB_MINUS_1048.g126","Uncharacterised protein family, ATP binding"
"IPR004131","EfaB_PLUS_6743.g621","Pyrophosphate-energised proton pump"
"IPR004143","EfaB_PLUS_37748.g2507","Biotin/lipoate A/B protein ligase"
"IPR004143","EfaB_PLUS_16742.g1421","Biotin/lipoate A/B protein ligase"
"IPR004147","EfaB_MINUS_24117.g2072","UbiB domain"
"IPR004147","EfaB_MINUS_20371.g1767","UbiB domain"
"IPR004147","EfaB_PLUS_18869.g1598","UbiB domain"
"IPR004147","EfaB_PLUS_32574.g2348","UbiB domain"
"IPR004150","EfaB_MINUS_17907.g1609","NAD-dependent DNA ligase, OB-fold"
"IPR004154","EfaB_PLUS_33854.g2431","Anticodon-binding"
"IPR004154","EfaB_MINUS_1363.g185","Anticodon-binding"
"IPR004154","EfaB_MINUS_49504.g2827","Anticodon-binding"
"IPR004154","EfaB_MINUS_42996.g2713","Anticodon-binding"
"IPR004154","EfaB_MINUS_800.g73","Anticodon-binding"
"IPR004154","EfaB_MINUS_14978.g1243","Anticodon-binding"
"IPR004154","EfaB_PLUS_53301.g2769","Anticodon-binding"
"IPR004154","EfaB_PLUS_27383.g2191","Anticodon-binding"
"IPR004154","EfaB_PLUS_24117.g2005","Anticodon-binding"
"IPR004154","EfaB_PLUS_3469.g349","Anticodon-binding"
"IPR004155","EfaB_PLUS_56725.g2825","PBS lyase HEAT-like repeat"
"IPR004156","EfaB_PLUS_34204.g2472","Organic anion transporter polypeptide OATP"
"IPR004160","EfaB_PLUS_39892.g2558","Translation elongation factor EFTu/EF1A, C-terminal"
"IPR004160","EfaB_MINUS_22450.g1954","Translation elongation factor EFTu/EF1A, C-terminal"
"IPR004161","EfaB_MINUS_31498.g2412","Translation elongation factor EFTu/EF1A, domain 2"
"IPR004161","EfaB_PLUS_228.g28","Translation elongation factor EFTu/EF1A, domain 2"
"IPR004161","EfaB_MINUS_18869.g1679","Translation elongation factor EFTu/EF1A, domain 2"
"IPR004161","EfaB_PLUS_39892.g2558","Translation elongation factor EFTu/EF1A, domain 2"
"IPR004161","EfaB_MINUS_15697.g1402","Translation elongation factor EFTu/EF1A, domain 2"
"IPR004161","EfaB_PLUS_4849.g449","Translation elongation factor EFTu/EF1A, domain 2"
"IPR004161","EfaB_MINUS_22450.g1954","Translation elongation factor EFTu/EF1A, domain 2"
"IPR004161","EfaB_PLUS_13227.g1159","Translation elongation factor EFTu/EF1A, domain 2"
"IPR004161","EfaB_MINUS_20371.g1725","Translation elongation factor EFTu/EF1A, domain 2"
"IPR004161","EfaB_PLUS_15349.g1261","Translation elongation factor EFTu/EF1A, domain 2"
"IPR004161","EfaB_MINUS_33184.g2486","Translation elongation factor EFTu/EF1A, domain 2"
"IPR004167","EfaB_PLUS_31498.g2325","E3 binding"
"IPR004167","EfaB_PLUS_15899.g1412","E3 binding"
"IPR004170","EfaB_MINUS_24117.g2070","WWE domain"
"IPR004176","EfaB_MINUS_6743.g600","Clp, N-terminal"
"IPR004176","EfaB_PLUS_4114.g407","Clp, N-terminal"
"IPR004177","EfaB_MINUS_1048.g131","DDHD"
"IPR004179","EfaB_PLUS_20371.g1684","Sec63 domain"
"IPR004179","EfaB_PLUS_15697.g1347","Sec63 domain"
"IPR004179","EfaB_PLUS_28105.g2229","Sec63 domain"
"IPR004179","EfaB_PLUS_31151.g2283","Sec63 domain"
"IPR004181","EfaB_MINUS_14981.g1286","Zinc finger, MIZ-type"
"IPR004182","EfaB_PLUS_7703.g719","GRAM"
"IPR004193","EfaB_MINUS_17195.g1559","Glycoside hydrolase, family 13, N-terminal"
"IPR004193","EfaB_PLUS_25458.g2110","Glycoside hydrolase, family 13, N-terminal"
"IPR004201","EfaB_MINUS_2387.g279","CDC48, domain 2"
"IPR004206","EfaB_MINUS_4849.g447","mRNA capping enzyme, beta subunit, structural domain"
"IPR004217","EfaB_MINUS_33184.g2480","Mitochondrial inner membrane translocase complex, Tim8/9/10/13-zinc finger-like"
"IPR004226","EfaB_MINUS_24117.g2092","Tubulin binding cofactor A"
"IPR004240","EfaB_PLUS_11414.g983","Nonaspanin (TM9SF)"
"IPR004241","EfaB_PLUS_7742.g765","Autophagy protein Atg8 ubiquitin-like"
"IPR004254","EfaB_PLUS_22240.g1808","Hly-III-related"
"IPR004255","EfaB_PLUS_7742.g774","O-acyltransferase, WSD1, N-terminal"
"IPR004262","EfaB_PLUS_25177.g2052","Male sterility"
"IPR004273","EfaB_MINUS_800.g72","Dynein heavy chain"
"IPR004273","EfaB_PLUS_800.g67","Dynein heavy chain"
"IPR004273","EfaB_PLUS_49504.g2695","Dynein heavy chain"
"IPR004273","EfaB_MINUS_12616.g1112","Dynein heavy chain"
"IPR004273","EfaB_MINUS_26136.g2228","Dynein heavy chain"
"IPR004273","EfaB_MINUS_34010.g2551","Dynein heavy chain"
"IPR004273","EfaB_MINUS_19717.g1718","Dynein heavy chain"
"IPR004273","EfaB_PLUS_42996.g2596","Dynein heavy chain"
"IPR004273","EfaB_PLUS_228.g27","Dynein heavy chain"
"IPR004273","EfaB_PLUS_56725.g2794","Dynein heavy chain"
"IPR004274","EfaB_PLUS_800.g86","NLI interacting factor"
"IPR004274","EfaB_PLUS_11789.g1010","NLI interacting factor"
"IPR004274","EfaB_PLUS_52892.g2753","NLI interacting factor"
"IPR004274","EfaB_PLUS_4337.g426","NLI interacting factor"
"IPR004274","EfaB_PLUS_15349.g1257","NLI interacting factor"
"IPR004274","EfaB_PLUS_5670.g490","NLI interacting factor"
"IPR004274","EfaB_MINUS_1425.g192","NLI interacting factor"
"IPR004274","EfaB_MINUS_17150.g1541","NLI interacting factor"
"IPR004277","EfaB_PLUS_1974.g212","Phosphatidyl serine synthase"
"IPR004277","EfaB_MINUS_800.g81","Phosphatidyl serine synthase"
"IPR004299","EfaB_MINUS_16742.g1480","Membrane bound O-acyl transferase, MBOAT"
"IPR004299","EfaB_MINUS_5792.g524","Membrane bound O-acyl transferase, MBOAT"
"IPR004308","EfaB_MINUS_14978.g1249","Glutamate-cysteine ligase catalytic subunit"
"IPR004316","EfaB_PLUS_37942.g2518","SWEET sugar transporter"
"IPR004324","EfaB_PLUS_25190.g2077","Biopterin transport-related protein BT1"
"IPR004324","EfaB_MINUS_56725.g2949","Biopterin transport-related protein BT1"
"IPR004324","EfaB_PLUS_23210.g1933","Biopterin transport-related protein BT1"
"IPR004324","EfaB_PLUS_43533.g2656","Biopterin transport-related protein BT1"
"IPR004326","EfaB_PLUS_2387.g304","Mlo-related protein"
"IPR004326","EfaB_MINUS_11414.g1001","Mlo-related protein"
"IPR004327","EfaB_PLUS_11414.g979","Phosphotyrosyl phosphatase activator, PTPA"
"IPR004328","EfaB_PLUS_12534.g1077","BRO1 domain"
"IPR004331","EfaB_PLUS_50714.g2733","SPX, N-terminal"
"IPR004331","EfaB_PLUS_6097.g585","SPX, N-terminal"
"IPR004331","EfaB_MINUS_56725.g2925","SPX, N-terminal"
"IPR004342","EfaB_PLUS_6097.g585","EXS, C-terminal"
"IPR004343","EfaB_MINUS_8675.g863","Plus-3"
"IPR004344","EfaB_PLUS_17096.g1474","Tubulin-tyrosine ligase"
"IPR004344","EfaB_PLUS_20412.g1700","Tubulin-tyrosine ligase"
"IPR004344","EfaB_MINUS_8664.g849","Tubulin-tyrosine ligase"
"IPR004344","EfaB_MINUS_26136.g2222","Tubulin-tyrosine ligase"
"IPR004344","EfaB_MINUS_11789.g1035","Tubulin-tyrosine ligase"
"IPR004345","EfaB_PLUS_21840.g1800","TB2/DP1/HVA22-related protein"
"IPR004353","EfaB_PLUS_14978.g1220","Vacuolar fusion protein MON1"
"IPR004358","EfaB_MINUS_2526.g312","Signal transduction histidine kinase-related protein, C-terminal"
"IPR004360","EfaB_MINUS_10843.g947","Glyoxalase/fosfomycin resistance/dioxygenase domain"
"IPR004361","EfaB_MINUS_10843.g947","Glyoxalase I"
"IPR004364","EfaB_PLUS_17096.g1466","Aminoacyl-tRNA synthetase, class II (D/K/N)"
"IPR004364","EfaB_MINUS_56725.g2964","Aminoacyl-tRNA synthetase, class II (D/K/N)"
"IPR004364","EfaB_PLUS_36188.g2487","Aminoacyl-tRNA synthetase, class II (D/K/N)"
"IPR004364","EfaB_PLUS_6035.g574","Aminoacyl-tRNA synthetase, class II (D/K/N)"
"IPR004364","EfaB_PLUS_49504.g2702","Aminoacyl-tRNA synthetase, class II (D/K/N)"
"IPR004364","EfaB_PLUS_1101.g154","Aminoacyl-tRNA synthetase, class II (D/K/N)"
"IPR004365","EfaB_PLUS_1101.g154","Nucleic acid binding, OB-fold, tRNA/helicase-type"
"IPR004365","EfaB_PLUS_37748.g2498","Nucleic acid binding, OB-fold, tRNA/helicase-type"
"IPR004365","EfaB_PLUS_49504.g2702","Nucleic acid binding, OB-fold, tRNA/helicase-type"
"IPR004365","EfaB_PLUS_21840.g1787","Nucleic acid binding, OB-fold, tRNA/helicase-type"
"IPR004365","EfaB_PLUS_36188.g2487","Nucleic acid binding, OB-fold, tRNA/helicase-type"
"IPR004367","EfaB_MINUS_33854.g2515","Cyclin, C-terminal"
"IPR004383","EfaB_PLUS_7048.g648","Ribosomal RNA large subunit methyltransferase RlmN;"
"IPR004396","EfaB_MINUS_228.g9","Conserved hypothetical protein CHP00092"
"IPR004398","EfaB_MINUS_20371.g1791","RNA methyltransferase, RsmD"
"IPR004403","EfaB_PLUS_13441.g1183","Peptide chain release factor eRF1/aRF1"
"IPR004424","EfaB_PLUS_32601.g2378","4-diphosphocytidyl-2C-methyl-D-erythritol kinase"
"IPR004443","EfaB_PLUS_30201.g2260","YjeF-related protein, N-terminal"
"IPR004455","EfaB_MINUS_53301.g2879","NADP oxidoreductase, coenzyme F420-dependent"
"IPR004457","EfaB_MINUS_15765.g1453","Zinc finger, ZPR1-type"
"IPR004469","EfaB_MINUS_22284.g1907","Phosphoserine phosphatase SerB"
"IPR004483","EfaB_PLUS_13222.g1101","DNA helicase, putative"
"IPR004489","EfaB_MINUS_800.g80","Succinate dehydrogenase/fumarate reductase iron-sulphur protein"
"IPR004491","EfaB_MINUS_17907.g1623","Heat shock protein HslU"
"IPR004493","EfaB_MINUS_26415.g2237","Leucyl-tRNA synthetase, class Ia, archaeal/eukaryotic cytosolic"
"IPR004499","EfaB_PLUS_27383.g2191","Prolyl-tRNA synthetase, class IIa, archaeal-type"
"IPR004506","EfaB_MINUS_13222.g1138","tRNA-specific 2-thiouridylase"
"IPR004514","EfaB_PLUS_26415.g2149","Glutaminyl-tRNA synthetase, class Ib"
"IPR004521","EfaB_PLUS_6897.g640","Uncharacterised domain CHP00451"
"IPR004521","EfaB_MINUS_19222.g1690","Uncharacterised domain CHP00451"
"IPR004522","EfaB_PLUS_49504.g2702","Asparaginyl-tRNA synthetase, class IIb"
"IPR004523","EfaB_PLUS_36188.g2487","Aspartyl-tRNA synthetase, archeal/eukaryotic-type"
"IPR004526","EfaB_PLUS_24117.g1988","Glutamyl-tRNA synthetase, class Ib, archaeal/eukaryotic cytosolic"
"IPR004529","EfaB_MINUS_8664.g835","Phenylalanyl-tRNA synthetase, class IIc, alpha subunit"
"IPR004539","EfaB_MINUS_22450.g1954","Translation elongation factor EF1A, eukaryotic/archaeal"
"IPR004540","EfaB_PLUS_228.g28","Translation elongation factor EFG/EF2"
"IPR004540","EfaB_MINUS_18869.g1679","Translation elongation factor EFG/EF2"
"IPR004541","EfaB_PLUS_39892.g2558","Translation elongation factor EFTu/EF1A, bacterial/organelle"
"IPR004551","EfaB_MINUS_5792.g521","Diphthine synthase"
"IPR004562","EfaB_PLUS_16742.g1421","Lipoyltransferase/lipoate-protein ligase"
"IPR004567","EfaB_PLUS_15576.g1289","Type II pantothenate kinase"
"IPR004567","EfaB_MINUS_15899.g1455","Type II pantothenate kinase"
"IPR004571","EfaB_MINUS_43533.g2771","NAD(P) transhydrogenase, alpha subunit"
"IPR004572","EfaB_MINUS_24117.g2061","Protoporphyrinogen oxidase"
"IPR004578","EfaB_PLUS_17907.g1550","DNA-directed DNA polymerase, family B, pol2"
"IPR004578","EfaB_PLUS_33184.g2383","DNA-directed DNA polymerase, family B, pol2"
"IPR004579","EfaB_MINUS_43533.g2734","DNA repair protein rad10"
"IPR004588","EfaB_MINUS_31498.g2411","4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial-type"
"IPR004589","EfaB_MINUS_36188.g2578","DNA helicase, ATP-dependent, RecQ type"
"IPR004589","EfaB_PLUS_25398.g2084","DNA helicase, ATP-dependent, RecQ type"
"IPR004589","EfaB_MINUS_15899.g1470","DNA helicase, ATP-dependent, RecQ type"
"IPR004595","EfaB_MINUS_13222.g1134","TFIIH C1-like domain"
"IPR004598","EfaB_MINUS_20371.g1769","Transcription factor Tfb2"
"IPR004600","EfaB_MINUS_7742.g788","Transcription factor Tfb4"
"IPR004616","EfaB_MINUS_3833.g370","Leucyl/phenylalanyl-tRNA-protein transferase"
"IPR004618","EfaB_PLUS_15349.g1269","Aspartate--ammonia ligase"
"IPR004640","EfaB_PLUS_5767.g514","Co-chaperone Hsc20"
"IPR004646","EfaB_PLUS_3469.g371","Fe-S hydro-lyase, tartrate dehydratase alpha-type, catalytic domain"
"IPR004647","EfaB_PLUS_3469.g371","Fe-S hydro-lyase, tartrate dehydratase beta-type, catalytic domain"
"IPR004649","EfaB_PLUS_7742.g734","Ribonuclease H2, subunit A"
"IPR004655","EfaB_PLUS_1903.g204","Beta-ketoacyl-acyl carrier protein synthase III (FabH)"
"IPR004686","EfaB_PLUS_5788.g530","Tricarboxylate/iron carrier"
"IPR004709","EfaB_PLUS_31498.g2312","Na+/H+ exchanger"
"IPR004721","EfaB_PLUS_21840.g1794","Dihydroorotase homodimeric type"
"IPR004728","EfaB_MINUS_53301.g2886","Translocation protein Sec62"
"IPR004730","EfaB_PLUS_20371.g1672","Transaldolase type 1"
"IPR004769","EfaB_MINUS_17907.g1648","Adenylosuccinate lyase"
"IPR004788","EfaB_MINUS_6035.g561","Ribose 5-phosphate isomerase, type A"
"IPR004790","EfaB_MINUS_25052.g2123","Isocitrate dehydrogenase NADP-dependent, eukaryotic-type"
"IPR004802","EfaB_PLUS_6897.g640","Pseudouridine synthase-related"
"IPR004806","EfaB_MINUS_24117.g2091","UV excision repair protein Rad23"
"IPR004809","EfaB_MINUS_15576.g1336","Glutamine synthetase type I"
"IPR004815","EfaB_MINUS_12616.g1113","Peptidase S16, ATP-dependent protease La"
"IPR004820","EfaB_PLUS_20437.g1757","Cytidylyltransferase"
"IPR004820","EfaB_PLUS_7742.g777","Cytidylyltransferase"
"IPR004820","EfaB_PLUS_6035.g580","Cytidylyltransferase"
"IPR004821","EfaB_MINUS_30201.g2347","Cytidyltransferase-related"
"IPR004821","EfaB_PLUS_7742.g777","Cytidyltransferase-related"
"IPR004821","EfaB_PLUS_6035.g580","Cytidyltransferase-related"
"IPR004837","EfaB_MINUS_5788.g497","Sodium/calcium exchanger membrane region"
"IPR004838","EfaB_PLUS_34010.g2448","Aminotransferases, class-I, pyridoxal-phosphate-binding site"
"IPR004839","EfaB_PLUS_34010.g2448","Aminotransferase, class I/classII"
"IPR004839","EfaB_MINUS_8675.g862","Aminotransferase, class I/classII"
"IPR004839","EfaB_PLUS_10358.g905","Aminotransferase, class I/classII"
"IPR004839","EfaB_MINUS_31746.g2423","Aminotransferase, class I/classII"
"IPR004843","EfaB_PLUS_2336.g258","Metallophosphoesterase domain"
"IPR004843","EfaB_MINUS_1974.g222","Metallophosphoesterase domain"
"IPR004843","EfaB_PLUS_5792.g556","Metallophosphoesterase domain"
"IPR004843","EfaB_PLUS_23210.g1936","Metallophosphoesterase domain"
"IPR004843","EfaB_PLUS_15576.g1304","Metallophosphoesterase domain"
"IPR004843","EfaB_MINUS_17400.g1574","Metallophosphoesterase domain"
"IPR004843","EfaB_PLUS_15349.g1259","Metallophosphoesterase domain"
"IPR004843","EfaB_MINUS_1425.g194","Metallophosphoesterase domain"
"IPR004843","EfaB_PLUS_17400.g1502","Metallophosphoesterase domain"
"IPR004843","EfaB_MINUS_32601.g2474","Metallophosphoesterase domain"
"IPR004843","EfaB_MINUS_34010.g2525","Metallophosphoesterase domain"
"IPR004843","EfaB_PLUS_43533.g2643","Metallophosphoesterase domain"
"IPR004843","EfaB_PLUS_5670.g497","Metallophosphoesterase domain"
"IPR004843","EfaB_PLUS_7048.g706","Metallophosphoesterase domain"
"IPR004853","EfaB_MINUS_7048.g667","Domain of unknown function DUF250"
"IPR004855","EfaB_MINUS_2336.g260","Transcription factor IIA, alpha/beta subunit"
"IPR004855","EfaB_PLUS_8837.g875","Transcription factor IIA, alpha/beta subunit"
"IPR004859","EfaB_MINUS_56725.g2923","Putative 5-3 exonuclease"
"IPR004859","EfaB_MINUS_228.g22","Putative 5-3 exonuclease"
"IPR004859","EfaB_PLUS_26415.g2150","Putative 5-3 exonuclease"
