Mouse Gene Identifier,Mouse Gene Product Description,Plasmodium Gene Indentifier,Plasmodium Gene Product Description,Interaction Type
ENSMUSG00000068706,predicted pseudogene 10250 [Source:MGI Symbol;Acc:MGI:3642408],PBANKA_040350,"elongation factor (EF-TS), putative",ISIGEM
ENSMUSG00000057367,baculoviral IAP repeat-containing 2 [Source:MGI Symbol;Acc:MGI:1197009],PBANKA_040390,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000068814,olfactory receptor 1145 [Source:MGI Symbol;Acc:MGI:3030979],PBANKA_040560,"EB1 homolog, putative",ISIGEM
ENSMUSG00000022902,stefin A2 [Source:MGI Symbol;Acc:MGI:106197],PBANKA_040660,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000043282,predicted gene 5531 [Source:MGI Symbol;Acc:MGI:3646829],PBANKA_040700,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000022902,stefin A2 [Source:MGI Symbol;Acc:MGI:106197],PBANKA_040710,"U2 snRNP spliceosome subunit, putative",ISIGEM
ENSMUSG00000029777,glycyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:2449057],PBANKA_040790,"YT521-B-like family protein, putative",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_040800,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000006490,"prolactin family8, subfamily a, member 9 [Source:MGI Symbol;Acc:MGI:1914560]",PBANKA_040870,"aybindin-like protein, putative",ISIGEM
ENSMUSG00000091863,predicted gene 7157 [Source:MGI Symbol;Acc:MGI:3779684],PBANKA_040970,aspartyl protease plasmepsin VI,ISIGEM
ENSMUSG00000039720,glutamic-oxaloacetic transaminase 1-like 1 [Source:MGI Symbol;Acc:MGI:1923865],PBANKA_041065,,ISIGEM
ENSMUSG00000022902,stefin A2 [Source:MGI Symbol;Acc:MGI:106197],PBANKA_041230,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000022956,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit [Source:MGI Symbol;Acc:MGI:106341]",PBANKA_041240,"zinc finger protein, putative",ISIGEM
ENSMUSG00000024430,calcium-binding tyrosine-(Y)-phosphorylation regulated (fibrousheathin 2) [Source:MGI Symbol;Acc:MGI:1918382],PBANKA_041240,"zinc finger protein, putative",ISIGEM
ENSMUSG00000028426,RAD23b homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:105128],PBANKA_041240,"zinc finger protein, putative",ISIGEM
ENSMUSG00000042414,PR domain containing 14 [Source:MGI Symbol;Acc:MGI:3588194],PBANKA_041280,"translation initiation factor E4, putative",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_041330,"mitochondrial ribosomal protein L29/L47 precursor, putative",ISIGEM
ENSMUSG00000001285,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864],PBANKA_041410,"inorganic pyrophosphatase, putative",ISIGEM
ENSMUSG00000024223,RIKEN cDNA 4930511I11 gene [Source:MGI Symbol;Acc:MGI:1914895],PBANKA_041420,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000043855,olfactory receptor 479 [Source:MGI Symbol;Acc:MGI:3030313],PBANKA_041540,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000025337,Shwachman-Bodian-Diamond syndrome homolog (human) [Source:MGI Symbol;Acc:MGI:1913961],PBANKA_041560,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000054589,predicted gene 9949 [Source:MGI Symbol;Acc:MGI:3647947],PBANKA_041670,"bacterial histone-like protein, putative",ISIGEM
ENSMUSG00000051232,transmembrane protein 199 [Source:MGI Symbol;Acc:MGI:2144113],PBANKA_041740,"GTPase activating protein, putative",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_041820,"Rab7, putative",ISIGEM
ENSMUSG00000054589,predicted gene 9949 [Source:MGI Symbol;Acc:MGI:3647947],PBANKA_050030,"conserved rodent malaria protein, unknown function",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_050070,Pb-fam-1 protein,ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_050290,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000015337,endonuclease G [Source:MGI Symbol;Acc:MGI:1261433],PBANKA_050310,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000006490,"prolactin family8, subfamily a, member 9 [Source:MGI Symbol;Acc:MGI:1914560]",PBANKA_050320,"eukaryotic translation initiation factor subunit eIF2A, putative",ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_050330,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000025224,golgi-specific brefeldin A-resistance factor 1 [Source:MGI Symbol;Acc:MGI:1861607],PBANKA_050360,"60S ribosomal protein L30e, putative",ISIGEM
ENSMUSG00000048047,zinc finger and BTB domain containing 33 [Source:MGI Symbol;Acc:MGI:1927290],PBANKA_050360,"60S ribosomal protein L30e, putative",ISIGEM
ENSMUSG00000025201,predicted gene 13540 [Source:MGI Symbol;Acc:MGI:3702045],PBANKA_050420,"large subunit rRNA processing RRM protein, putative",ISIGEM
ENSMUSG00000030450,oculocutaneous albinism II [Source:MGI Symbol;Acc:MGI:97454],PBANKA_050440,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000058807,olfactory receptor 331 [Source:MGI Symbol;Acc:MGI:3030165],PBANKA_050440,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000028426,RAD23b homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:105128],PBANKA_050500,"dihydrolipoamide acyltransferase, putative",ISIGEM
ENSMUSG00000048047,zinc finger and BTB domain containing 33 [Source:MGI Symbol;Acc:MGI:1927290],PBANKA_050500,"dihydrolipoamide acyltransferase, putative",ISIGEM
ENSMUSG00000049999,"protein phosphatase 1, regulatory subunit 3D [Source:MGI Symbol;Acc:MGI:1917664]",PBANKA_050500,"dihydrolipoamide acyltransferase, putative",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_050530,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000068739,seryl-aminoacyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:102809],PBANKA_050640,"conserved Plasmodium membrane protein, unknown function",ISIGEM
ENSMUSG00000030512,small nuclear ribonucleoprotein polypeptide A' [Source:MGI Symbol;Acc:MGI:1916231],PBANKA_050650,"zinc transporter, putative",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_050810,"SNF2 helicase, putative chromodomain-helicase-DNA-binding protein 1, putative",ISIGEM
ENSMUSG00000075209,olfactory receptor 1016 [Source:MGI Symbol;Acc:MGI:3030850],PBANKA_050830,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000031711,zinc finger protein 330 [Source:MGI Symbol;Acc:MGI:1353574],PBANKA_050850,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_050900,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000032604,glutaminyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1915851],PBANKA_050920,"formin 2, putative",ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_050940,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000060534,deleted in colorectal carcinoma [Source:MGI Symbol;Acc:MGI:94869],PBANKA_050970,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_050980,"cytochrome c oxidase copper chaperone, putative",ISIGEM
ENSMUSG00000027429,SEC23B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1350925],PBANKA_051040,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000006490,"prolactin family8, subfamily a, member 9 [Source:MGI Symbol;Acc:MGI:1914560]",PBANKA_051090,"40S ribosomal protein S2B, putative",ISIGEM
ENSMUSG00000025268,"melanoma antigen, family D, 2 [Source:MGI Symbol;Acc:MGI:1933391]",PBANKA_051170,"topoisomerase, putative",ISIGEM
ENSMUSG00000063663,bromodomain and WD repeat domain containing 3 [Source:MGI Symbol;Acc:MGI:3029414],PBANKA_051240,"nucleolar preribosomal assembly protein, putative",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_051280,"merozoite TRAP-like protein, putative",ISIGEM
ENSMUSG00000015961,"adenylosuccinate synthetase, non muscle [Source:MGI Symbol;Acc:MGI:87948]",PBANKA_051360,"adenosine deaminase, putative",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_051390,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000057982,zinc finger protein 809 [Source:MGI Symbol;Acc:MGI:2143362],PBANKA_051410,"RNA helicase, putative",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_051470,"RNA methyltransferase, putative",ISIGEM
ENSMUSG00000054589,predicted gene 9949 [Source:MGI Symbol;Acc:MGI:3647947],PBANKA_051470,"RNA methyltransferase, putative",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_051540,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_051750,"bromodomain protein, putative",ISIGEM
ENSMUSG00000054589,predicted gene 9949 [Source:MGI Symbol;Acc:MGI:3647947],PBANKA_051750,"bromodomain protein, putative",ISIGEM
ENSMUSG00000074170,"pleckstrin homology domain containing, family F (with FYVE domain) member 1 [Source:MGI Symbol;Acc:MGI:1919537]",PBANKA_051760,"plasmepsin VII, putative",ISIGEM
ENSMUSG00000015961,"adenylosuccinate synthetase, non muscle [Source:MGI Symbol;Acc:MGI:87948]",PBANKA_051860,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_051870,"methionine-tRNA ligase, putative",ISIGEM
ENSMUSG00000001285,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864],PBANKA_051920,"CCAT-binding transcription factor-like protein, putative",ISIGEM
ENSMUSG00000070953,Rab9 effector protein with kelch motifs [Source:MGI Symbol;Acc:MGI:2139530],PBANKA_051950,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_052090,"antigen UB05, putative",ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_052140,RIO-like kinase,ISIGEM
ENSMUSG00000068739,seryl-aminoacyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:102809],PBANKA_052140,RIO-like kinase,ISIGEM
ENSMUSG00000015013,trafficking protein particle complex 2-like [Source:MGI Symbol;Acc:MGI:1916295],PBANKA_052240,"steroid dehydrogenase, putative",ISIGEM
ENSMUSG00000028426,RAD23b homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:105128],PBANKA_052360,"BSD-domain protein, putative",ISIGEM
ENSMUSG00000049999,"protein phosphatase 1, regulatory subunit 3D [Source:MGI Symbol;Acc:MGI:1917664]",PBANKA_052360,"BSD-domain protein, putative",ISIGEM
ENSMUSG00000025337,Shwachman-Bodian-Diamond syndrome homolog (human) [Source:MGI Symbol;Acc:MGI:1913961],PBANKA_052420,small exported protein early transcribed membrane protein,ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_060040,Pb-fam-1 protein,ISIGEM
ENSMUSG00000015337,endonuclease G [Source:MGI Symbol;Acc:MGI:1261433],PBANKA_060080,"cytochrome c oxidase assembly protein, putative",ISIGEM
ENSMUSG00000068739,seryl-aminoacyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:102809],PBANKA_060100,"ATP dependent RNA helicase, putative",ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_060220,"signal recognition particle SRP14, putative",ISIGEM
ENSMUSG00000031095,cullin 4B [Source:MGI Symbol;Acc:MGI:1919834],PBANKA_060260,"cytochrome c1 heme lyase, putative",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_060270,"nucleosome assembly protein 1, putative",ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_060300,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000025337,Shwachman-Bodian-Diamond syndrome homolog (human) [Source:MGI Symbol;Acc:MGI:1913961],PBANKA_060340,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000054589,predicted gene 9949 [Source:MGI Symbol;Acc:MGI:3647947],PBANKA_060430,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000025337,Shwachman-Bodian-Diamond syndrome homolog (human) [Source:MGI Symbol;Acc:MGI:1913961],PBANKA_060440,"targeted glyoxalase II, putative",ISIGEM
ENSMUSG00000029992,glutamine fructose-6-phosphate transaminase 1 [Source:MGI Symbol;Acc:MGI:95698],PBANKA_060440,"targeted glyoxalase II, putative",ISIGEM
ENSMUSG00000033581,insulin-like growth factor 2 mRNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1890358],PBANKA_060440,"targeted glyoxalase II, putative",ISIGEM
ENSMUSG00000037234,hook homolog 3 (Drosophila) [Source:MGI Symbol;Acc:MGI:2443554],PBANKA_060440,"targeted glyoxalase II, putative",ISIGEM
ENSMUSG00000061195,olfactory receptor 1289 [Source:MGI Symbol;Acc:MGI:3031123],PBANKA_060510,"Tat binding protein 1(TBP-1)-interacting protein, putative",ISIGEM
ENSMUSG00000039372,membrane-associated ring finger (C3HC4) 4 [Source:MGI Symbol;Acc:MGI:2683550],PBANKA_060580,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000075222,olfactory receptor 988 [Source:MGI Symbol;Acc:MGI:3030822],PBANKA_060610,"tRNA delta(2)-isopentenylpyrophosphate transferase, putative",ISIGEM
ENSMUSG00000057534,predicted gene 15698 [Source:MGI Symbol;Acc:MGI:3651308],PBANKA_060620,"blood stage antigen 41-3 precursor, putative",ISIGEM
ENSMUSG00000015337,endonuclease G [Source:MGI Symbol;Acc:MGI:1261433],PBANKA_060690,"amino acid transporter, putative",ISIGEM
ENSMUSG00000073951,olfactory receptor 598 [Source:MGI Symbol;Acc:MGI:3030432],PBANKA_060700,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_060730,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000054589,predicted gene 9949 [Source:MGI Symbol;Acc:MGI:3647947],PBANKA_060740,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_060760,"lsm7 homologue, putative",ISIGEM
ENSMUSG00000029777,glycyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:2449057],PBANKA_060930,"GPI mannosyltransferase I, putative, fragment",ISIGEM
ENSMUSG00000030512,small nuclear ribonucleoprotein polypeptide A' [Source:MGI Symbol;Acc:MGI:1916231],PBANKA_060930,"GPI mannosyltransferase I, putative, fragment",ISIGEM
ENSMUSG00000050141,cDNA sequence BC049635 [Source:MGI Symbol;Acc:MGI:2679716],PBANKA_060950,"kinesin-related protein, putative",ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_061000,"mitochondrial ribosomal protein S18 precursor, putative",ISIGEM
ENSMUSG00000068739,seryl-aminoacyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:102809],PBANKA_061000,"mitochondrial ribosomal protein S18 precursor, putative",ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_061060,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000006490,"prolactin family8, subfamily a, member 9 [Source:MGI Symbol;Acc:MGI:1914560]",PBANKA_061130,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000032604,glutaminyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1915851],PBANKA_061160,"ribonucleoside-diphosphate reductase, large subunit, putative",ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_061220,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000068739,seryl-aminoacyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:102809],PBANKA_061230,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_061320,"DNA polymerase alpha, putative",ISIGEM
ENSMUSG00000055319,Sec23 interacting protein [Source:MGI Symbol;Acc:MGI:2450915],PBANKA_061430,"cysteine desulfurase, putative",ISIGEM
ENSMUSG00000068739,seryl-aminoacyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:102809],PBANKA_061430,"cysteine desulfurase, putative",ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_061490,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000051232,transmembrane protein 199 [Source:MGI Symbol;Acc:MGI:2144113],PBANKA_061660,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000054589,predicted gene 9949 [Source:MGI Symbol;Acc:MGI:3647947],PBANKA_061710,"60S ribosomal protein L11a, putative",ISIGEM
ENSMUSG00000001285,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864],PBANKA_061720,"40S ribosomal protein S10, putative",ISIGEM
ENSMUSG00000091863,predicted gene 7157 [Source:MGI Symbol;Acc:MGI:3779684],PBANKA_061790,"ferrodoxin reductase-like protein, putative",ISIGEM
ENSMUSG00000074764,sel-1 suppressor of lin-12-like 2 (C. elegans) [Source:MGI Symbol;Acc:MGI:2684964],PBANKA_061810,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_061930,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000022902,stefin A2 [Source:MGI Symbol;Acc:MGI:106197],PBANKA_062130,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000001285,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864],PBANKA_062140,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000033257,"tubulin tyrosine ligase-like family, member 4 [Source:MGI Symbol;Acc:MGI:1914784]",PBANKA_062160,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000039720,glutamic-oxaloacetic transaminase 1-like 1 [Source:MGI Symbol;Acc:MGI:1923865],PBANKA_062200,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_062310,"conserved rodent malaria protein, unknown function",ISIGEM
ENSMUSG00000075135,olfactory receptor 1166 [Source:MGI Symbol;Acc:MGI:3031000],PBANKA_070130,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_070170,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000022475,histone deacetylase 7 [Source:MGI Symbol;Acc:MGI:1891835],PBANKA_070230,"mitochondrial inner membrane translocase, putative",ISIGEM
ENSMUSG00000074221,zinc finger protein 568 [Source:MGI Symbol;Acc:MGI:2142347],PBANKA_070390,"receptor for activated C kinase, putative",ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_070420,"dehydrodolichyl diphosphate synthetase, putative",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_070450,"ubiquitin-protein ligase 1, putative",ISIGEM
ENSMUSG00000068739,seryl-aminoacyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:102809],PBANKA_070570,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000044292,olfactory receptor 978 [Source:MGI Symbol;Acc:MGI:3030812],PBANKA_070710,"membrane skeletal protein, putative",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_070730,"histone acetyltransferase, putative",ISIGEM
ENSMUSG00000054589,predicted gene 9949 [Source:MGI Symbol;Acc:MGI:3647947],PBANKA_070730,"histone acetyltransferase, putative",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_070810,dynein light chain 1,ISIGEM
ENSMUSG00000025337,Shwachman-Bodian-Diamond syndrome homolog (human) [Source:MGI Symbol;Acc:MGI:1913961],PBANKA_070880,"mitochondrial ribosomal protein L4 precursor, putative",ISIGEM
ENSMUSG00000029992,glutamine fructose-6-phosphate transaminase 1 [Source:MGI Symbol;Acc:MGI:95698],PBANKA_070880,"mitochondrial ribosomal protein L4 precursor, putative",ISIGEM
ENSMUSG00000037234,hook homolog 3 (Drosophila) [Source:MGI Symbol;Acc:MGI:2443554],PBANKA_070880,"mitochondrial ribosomal protein L4 precursor, putative",ISIGEM
ENSMUSG00000018500,adenosine A2b receptor [Source:MGI Symbol;Acc:MGI:99403],PBANKA_071060,"phosphatidylglycerophosphate synthase, putative",ISIGEM
ENSMUSG00000006490,"prolactin family8, subfamily a, member 9 [Source:MGI Symbol;Acc:MGI:1914560]",PBANKA_071190,"heat shock protein, putative",ISIGEM
ENSMUSG00000068739,seryl-aminoacyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:102809],PBANKA_071220,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000022902,stefin A2 [Source:MGI Symbol;Acc:MGI:106197],PBANKA_071410,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000068739,seryl-aminoacyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:102809],PBANKA_071440,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000048047,zinc finger and BTB domain containing 33 [Source:MGI Symbol;Acc:MGI:1927290],PBANKA_071500,"vacuolar sorting protein VPS9, putative",ISIGEM
ENSMUSG00000001285,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864],PBANKA_071580,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_071840,"histone acetyltransferase, putative",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_072040,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000078924,predicted gene 12169 [Source:MGI Symbol;Acc:MGI:3650838],PBANKA_072060,"Bet3 transport protein, putative",ISIGEM
ENSMUSG00000024223,RIKEN cDNA 4930511I11 gene [Source:MGI Symbol;Acc:MGI:1914895],PBANKA_072150,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000000724,"crystallin, beta A1 [Source:MGI Symbol;Acc:MGI:88518]",PBANKA_080050,chitinase,ISIGEM
ENSMUSG00000039720,glutamic-oxaloacetic transaminase 1-like 1 [Source:MGI Symbol;Acc:MGI:1923865],PBANKA_080050,chitinase,ISIGEM
ENSMUSG00000022902,stefin A2 [Source:MGI Symbol;Acc:MGI:106197],PBANKA_080080,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_080160,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000001285,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864],PBANKA_080230,"ubiquitin transferase, putative",ISIGEM
ENSMUSG00000058807,olfactory receptor 331 [Source:MGI Symbol;Acc:MGI:3030165],PBANKA_080250,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000027937,jumping translocation breakpoint [Source:MGI Symbol;Acc:MGI:1346082],PBANKA_080280,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000057342,sphingosine kinase 2 [Source:MGI Symbol;Acc:MGI:1861380],PBANKA_080280,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000002326,guanosine monophosphate reductase 2 [Source:MGI Symbol;Acc:MGI:1917903],PBANKA_080310,"minchromosome maintenance (MCM) complex subunit, putative",ISIGEM
ENSMUSG00000006490,"prolactin family8, subfamily a, member 9 [Source:MGI Symbol;Acc:MGI:1914560]",PBANKA_080350,"ATP synthase subunit C, putative",ISIGEM
ENSMUSG00000001285,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864],PBANKA_080590,"kinesin, putative",ISIGEM
ENSMUSG00000030884,ubiquinol cytochrome c reductase core protein 2 [Source:MGI Symbol;Acc:MGI:1914253],PBANKA_080600,"ubiquitin-conjugating enzyme, putative",ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_080870,"GTPase activator, putative",ISIGEM
ENSMUSG00000054589,predicted gene 9949 [Source:MGI Symbol;Acc:MGI:3647947],PBANKA_080930,"formylmethionine deformylase, putative",ISIGEM
ENSMUSG00000001285,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864],PBANKA_081130,"Ran-binding protein, putative",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_081170,"SNARE protein, putative",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_081210,"phosphatidylinositol N- acetylglucosaminyltransferase, putative",ISIGEM
ENSMUSG00000022902,stefin A2 [Source:MGI Symbol;Acc:MGI:106197],PBANKA_081230,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000067173,"MAS-related GPR, member A4 [Source:MGI Symbol;Acc:MGI:3033100]",PBANKA_081330,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000031711,zinc finger protein 330 [Source:MGI Symbol;Acc:MGI:1353574],PBANKA_081350,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000001285,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864],PBANKA_081600,"NADH dehydrogenase, putative",ISIGEM
