[Gene ID]	[Fold Change]	[Chosen Comp (log2)]	[Chosen Ref (log2)]	[Previous ID(s)]	
TGME49_223080	-1.7	2.81	3.61	1903.t000185, 41.m01391, TGME49_023080, TgGLEAN_0634, TgGlmHMM_2784, TgTigrScan_7705, TgTigrScan_7706, TgTwinScan_2641, mrna.TGME49_023080A, tigr:cds.TGME49_023080A	
TGME49_223095	-1.5	3.05	3.6	1903.t000294, TGME49_023095	
TGME49_223110	-1.8	3.59	4.48	1903.t000187, 41.m00029, TGME49_023110, TgGLEAN_0630, TgGlmHMM_2786, TgTigrScan_7710, TgTwinScan_2643, mrna.TGME49_023110A, tigr:cds.TGME49_023110A	
TGME49_223120	-6.4	2.03	4.7	1903.t000188, 41.m01394, TGME49_023120, TgGLEAN_0820, TgTwinScan_2644, mrna.TGME49_023120A, tigr:cds.TGME49_023120A	
TGME49_223125	-1.2	5.42	5.69	1903.t000189, TGME49_023125	
TGME49_223130	-1.2	3.15	3.44	1903.t000190, 41.m00028, TGME49_023130, TgGLEAN_0627, TgGLEAN_0628, TgGlmHMM_2786, TgGlmHMM_2787, TgTigrScan_7712, TgTwinScan_2645, mrna.TGME49_023130A, tigr:cds.TGME49_023130A	
TGME49_223140	-1	6.44	6.45	1903.t000191, 41.m00027, TGME49_023140, TgGLEAN_0821, TgGlmHMM_2788, TgTigrScan_7713, TgTwinScan_2646, mrna.TGME49_023140A, tigr:cds.TGME49_023140A	
TGME49_223150	-1.3	4.69	5.02	1938.t000001, 41.m01397, TGME49_023150, TgGLEAN_0626, TgGlmHMM_2789, TgTigrScan_7714, TgTwinScan_2647, mrna.TGME49_023150A, tigr:cds.TGME49_023150A	
TGME49_223258	-1.2	4.37	4.61	1908.t000475, TGME49_023260, TgGLEAN_6435, TgGLEAN_6436, TgGlmHMM_2790, TgTigrScan_4696, TgTigrScan_4697, TgTwinScan_5154	
TGME49_223262	-1.4	3.47	3.93	1908.t000476, 42.m03274, TGME49_023260, TgGLEAN_6435, TgGLEAN_6436, TgGlmHMM_2790, TgTigrScan_4696, TgTigrScan_4697, TgTwinScan_5154, mrna.TGME49_023260A, tigr:cds.TGME49_023260A	
TGME49_223270	-1.4	2.45	2.95	1908.t000477, TGME49_023270, TgGLEAN_6437, TgGlmHMM_2790, TgTigrScan_4698, TgTwinScan_5155, mrna.TGME49_023270A, tigr:cds.TGME49_023270A	
TGME49_223390	-1.3	4.48	4.86	1908.t000478, 42.m03275, TGME49_023390, TgGLEAN_6430, TgGlmHMM_2791, TgTigrScan_4699, TgTwinScan_5156, mrna.TGME49_023390A, tigr:cds.TGME49_023390A	
TGME49_223400	-1.3	0	0.41	1908.t000479, 42.m05855, TGME49_023400, TgGlmHMM_2792, mrna.TGME49_023400A, tigr:cds.TGME49_023400A	
TGME49_223410	-1.1	7.66	7.83	1908.t000480, 42.m03276, TGME49_023410, TgGLEAN_6429, TgGlmHMM_2792, TgTigrScan_4700, TgTwinScan_5157, mrna.TGME49_023410A, tigr:cds.TGME49_023410A	
TGME49_223420	-1.3	3.56	3.94	1908.t000481, 42.m03277, TGME49_023420, TgGlmHMM_2793, TgTigrScan_4701, mrna.TGME49_023420A, tigr:cds.TGME49_023420A	
TGME49_223430	-1	0	0.01	1908.t000482, 42.m03277, TGME49_023430, TgGLEAN_6438, TgGlmHMM_2793, TgTigrScan_4701, TgTwinScan_5158, mrna.TGME49_023430A, tigr:cds.TGME49_023430A	
TGME49_223440	-1.3	2.48	2.91	1908.t000485, 42.m03278, TGME49_023440, TgGLEAN_6439, TgGLEAN_6440, TgGlmHMM_2793, TgTigrScan_4702, TgTigrScan_4703, TgTwinScan_5159, mrna.TGME49_023440A, tigr:cds.TGME49_023440A	
TGME49_223450	-1.4	1.72	2.19	1908.t000486, 42.m03279, TGME49_023450, TgGLEAN_6440, TgGlmHMM_2793, TgTigrScan_4703, TgTwinScan_5160, mrna.TGME49_023450A, tigr:cds.TGME49_023450A	
TGME49_223470	-1.5	1.4	1.96	1908.t000487, 42.m07409, TGME49_023470, TgTigrScan_4704, mrna.TGME49_023470A, tigr:cds.TGME49_023470A	
TGME49_223480	-2.7	2.08	3.52	1908.t000488, 42.m03281, TGME49_023480, TgGLEAN_6427, TgGLEAN_6428, TgGlmHMM_2795, TgTigrScan_4705, TgTigrScan_4706, TgTwinScan_5162, TgTwinScan_5163, mrna.TGME49_023480A, tigr:cds.TGME49_023480A	
TGME49_223485	-1.1	5.96	6.14	1908.t000489, TGME49_023485	
TGME49_223490	-1.2	4.41	4.68	1908.t000490, 42.m03283, TGME49_023490, TgGLEAN_6425, TgGlmHMM_2795, TgTigrScan_4709, TgTwinScan_5165, mrna.TGME49_023490A, tigr:cds.TGME49_023490A	
TGME49_223500	-1.4	3.27	3.8	1908.t000491, 42.m03284, TGME49_023500, TgGLEAN_6425, TgGlmHMM_2795, TgTigrScan_4709, TgTwinScan_5166, mrna.TGME49_023500A, tigr:cds.TGME49_023500A	
TGME49_223510	-1.4	3.92	4.38	1908.t000492, 42.m00018, TGME49_023510, TgGLEAN_6444, TgGlmHMM_2796, TgTigrScan_4711, TgTwinScan_5168, mrna.TGME49_023510A, tigr:cds.TGME49_023510A	
TGME49_223520	-1.3	0	0.33	1908.t000493, 42.m03286, TGME49_023520, TgGLEAN_6423, TgGlmHMM_2797, TgTigrScan_4712, mrna.TGME49_023520A, tigr:cds.TGME49_023520A	
TGME49_223530	-1.2	4.24	4.5	1908.t000494, 42.m03287, TGME49_023530, TgGLEAN_6445, TgGlmHMM_2798, TgTigrScan_4713, TgTwinScan_5169, mrna.TGME49_023530A, tigr:cds.TGME49_023530A	
TGME49_223540	-1.2	4.37	4.66	1908.t000495, 42.m03288, TGME49_023540, TgGLEAN_6446, TgGlmHMM_2798, TgTigrScan_4713, TgTwinScan_5170, mrna.TGME49_023540A, tigr:cds.TGME49_023540A	
TGME49_223550	-1.3	5.6	5.99	1908.t000496, 42.m03289, TGME49_023550, TgGLEAN_6422, TgGlmHMM_2799, TgTigrScan_4714, TgTwinScan_5171, mrna.TGME49_023550A, tigr:cds.TGME49_023550A	
TGME49_223560	-1.2	5.27	5.58	1908.t000497, 42.m03289, TGME49_023560, TgGLEAN_6421, TgGlmHMM_2799, TgTigrScan_4714, TgTwinScan_5172, mrna.TGME49_023560A, tigr:cds.TGME49_023560A	
TGME49_223570	-1.4	2.27	2.76	1908.t000498, 42.m00019, TGME49_023570, TgGLEAN_6447, TgGlmHMM_2800, TgTigrScan_4715, TgTwinScan_5173, mrna.TGME49_023570A, tigr:cds.TGME49_023570A	
TGME49_223580	-1.5	3.24	3.79	1908.t000499, 42.m05826, TGME49_023580, TgGLEAN_6420, TgGlmHMM_2801, TgTigrScan_4716, TgTwinScan_5174, mrna.TGME49_023580A, tigr:cds.TGME49_023580A	
TGME49_223590	-1.1	6.97	7.09	1908.t000501, 42.m00020, TGME49_023590, TgGLEAN_6448, TgGlmHMM_2802, TgTigrScan_4717, TgTwinScan_5175, mrna.TGME49_023590A, tigr:cds.TGME49_023590A	
TGME49_223600	-1.4	3.86	4.32	1908.t000502, 42.m00021, TGME49_023600, TgGLEAN_6449, TgGlmHMM_2803, TgTigrScan_4718, TgTwinScan_5176, mrna.TGME49_023600A, tigr:cds.TGME49_023600A	
TGME49_223610	-1.5	2.66	3.26	1908.t000503, 42.m03293, TGME49_023610, TgGLEAN_6450, TgGlmHMM_2803, TgTigrScan_4719, TgTigrScan_4720, TgTwinScan_5177, mrna.TGME49_023610A, tigr:cds.TGME49_023610A	
TGME49_223620	-1.4	3.44	3.91	1908.t000504, 42.m03294, TGME49_023620, TgGLEAN_6419, TgGlmHMM_2804, TgTigrScan_4721, TgTwinScan_5178, mrna.TGME49_023620A, tigr:cds.TGME49_023620A	
TGME49_223630	-1.2	3.43	3.72	1908.t000505, 42.m03295, TGME49_023630, TgGLEAN_6451, TgGlmHMM_2805, TgTwinScan_5179, mrna.TGME49_023630A, tigr:cds.TGME49_023630A	
TGME49_223640	-2	2.73	3.72	1908.t000506, 42.m03296, TGME49_023640, TgGLEAN_6418, TgGlmHMM_2806, TgTigrScan_4721, TgTwinScan_5180, mrna.TGME49_023640A, tigr:cds.TGME49_023640A	
TGME49_223650	-1.8	1.95	2.82	1908.t000507, 42.m07407, TGME49_023650, TgGLEAN_6417, TgTigrScan_4722, mrna.TGME49_023650A, tigr:cds.TGME49_023650A	
TGME49_223660	-1.1	4.56	4.74	1908.t000508, 42.m05824, TGME49_023660, TgGLEAN_6416, TgGlmHMM_2808, TgTigrScan_4723, TgTwinScan_5181, mrna.TGME49_023660A, tigr:cds.TGME49_023660A	
TGME49_223668	1.1	5.84	5.72	1908.t000509, TGME49_023670, TgGLEAN_6415, TgGlmHMM_2808, TgTigrScan_4725, TgTwinScan_5182, TgTwinScan_5183	
TGME49_223672	-1.4	5.49	5.94	1908.t000510, 42.m03297, TGME49_023670, TgGLEAN_6415, TgGlmHMM_2808, TgTigrScan_4725, TgTwinScan_5182, TgTwinScan_5183, mrna.TGME49_023670A, tigr:cds.TGME49_023670A	
TGME49_223680	-1.3	6.31	6.68	1908.t000511, 42.m00022, TGME49_023680, TgGLEAN_6454, TgGlmHMM_2809, TgTigrScan_4726, TgTwinScan_5184, mrna.TGME49_023680A, tigr:cds.TGME49_023680A	
TGME49_223685	1	5.89	5.86	1908.t000512, TGME49_023685	
TGME49_223690	-1.4	5.47	5.95	1908.t000513, 42.m03299, TGME49_023690, TgGLEAN_6455, TgGlmHMM_2809, TgTigrScan_4727, TgTwinScan_5185, mrna.TGME49_023690A, tigr:cds.TGME49_023690A	
TGME49_223700	-1.3	1.2	1.53	1908.t000514, 42.m03301, TGME49_023700, TgGLEAN_6456, TgGLEAN_6457, TgGlmHMM_2809, TgTigrScan_4728, TgTigrScan_4729, TgTigrScan_4730, TgTwinScan_5185, mrna.TGME49_023700A, tigr:cds.TGME49_023700A	
TGME49_223710	-1.2	5.57	5.81	1908.t000515, 42.m03303, TGME49_023710, TgGLEAN_6458, TgGlmHMM_2809, TgTigrScan_4730, TgTwinScan_5186, mrna.TGME49_023710A, tigr:cds.TGME49_023710A	
TGME49_223725	-1.5	0.42	1.03	1908.t000516, 42.m03304, 42.m03305, TGME49_023720, TGME49_023730, TGME49_023740, TgGLEAN_6414, TgGLEAN_6459, TgGLEAN_6460, TgGlmHMM_2810, TgGlmHMM_2811, TgGlmHMM_2812, TgTigrScan_4732, TgTigrScan_4733, TgTigrScan_4734, TgTwinScan_5187, TgTwinScan_5188, TgTwinScan_5189, mrna.TGME49_023720A, mrna.TGME49_023730A, mrna.TGME49_023740A, tigr:cds.TGME49_023720A, tigr:cds.TGME49_023730A, tigr:cds.TGME49_023740A	
TGME49_223750	-1.4	0.67	1.15	1908.t000517, 42.m03306, TGME49_023750, TgGLEAN_6413, TgGlmHMM_2813, TgTigrScan_4735, TgTwinScan_5190, mrna.TGME49_023750A, tigr:cds.TGME49_023750A	
TGME49_223760	-1.4	3.08	3.53	1908.t000518, 42.m03307, TGME49_023760, TgGLEAN_6461, TgGlmHMM_2815, TgTigrScan_4737, TgTwinScan_5191, mrna.TGME49_023760A, tigr:cds.TGME49_023760A	
TGME49_223770	-1.1	0	0.19	1908.t000519, 42.m07406, TGME49_023770, TgGLEAN_6411, TgTwinScan_5192, mrna.TGME49_023770A, tigr:cds.TGME49_023770A	
TGME49_223780	-1.2	2.18	2.5	1908.t000520, 42.m03308, TGME49_023780, TgGLEAN_6462, TgGlmHMM_2815, TgTigrScan_4738, TgTwinScan_5193, mrna.TGME49_023780A, tigr:cds.TGME49_023780A	
TGME49_223790	-1	2.74	2.81	1908.t000521, 42.m03309, TGME49_023790, TgGLEAN_6410, TgGlmHMM_2816, TgTigrScan_4739, TgTwinScan_5194, mrna.TGME49_023790A, tigr:cds.TGME49_023790A	
TGME49_223800	-1.3	3.65	4.07	1908.t000522, 42.m07405, TGME49_023800, TgGLEAN_6409, TgGlmHMM_2817, TgTigrScan_4739, TgTwinScan_5195, mrna.TGME49_023800A, tigr:cds.TGME49_023800A	
TGME49_223810	-1.5	1.44	2.01	1908.t000523, 42.m03310, TGME49_023810, TgGLEAN_6464, TgGlmHMM_2818, TgTigrScan_4740, mrna.TGME49_023810A, tigr:cds.TGME49_023810A	
TGME49_223830	-2.8	5.95	7.42	1908.t000524, 42.m03311, TGME49_023830, TgGLEAN_6465, TgGlmHMM_2818, TgTigrScan_4741, TgTwinScan_5197, mrna.TGME49_023830A, tigr:cds.TGME49_023830A	
TGME49_223840	-2	4.51	5.53	1908.t000525, 42.m03311, TGME49_023840, TgGLEAN_6466, TgGlmHMM_2819, TgGlmHMM_2820, TgTigrScan_4742, TgTwinScan_5198, mrna.TGME49_023840A, tigr:cds.TGME49_023840A	
TGME49_223845	-2.6	3.24	4.64	1908.t000526, TGME49_023845	
TGME49_223855	-1.3	4.88	5.27	1908.t000527, 42.m03312, 42.m03313, TGME49_023850, TGME49_023860, TgGLEAN_6467, TgGlmHMM_2820, TgTigrScan_4742, TgTwinScan_5199, TgTwinScan_5200, mrna.TGME49_023850A, mrna.TGME49_023860A, tigr:cds.TGME49_023850A, tigr:cds.TGME49_023860A	
TGME49_223870	-1.5	2.06	2.68	1908.t000528, 42.m03314, TGME49_023870, TgGLEAN_6408, TgGlmHMM_2821, TgTigrScan_4743, TgTwinScan_5201, mrna.TGME49_023870A, tigr:cds.TGME49_023870A	
TGME49_223880	-1.9	0.7	1.66	1908.t000530, TGME49_023880, TgGLEAN_6468, TgGLEAN_6469, TgGlmHMM_2822, TgTigrScan_4744, TgTigrScan_4745, TgTwinScan_5203, mrna.TGME49_023880A, tigr:cds.TGME49_023880A	
TGME49_223900	-3.3	1.54	3.26	1908.t000531, 42.m03317, TGME49_023900, TgGLEAN_6407, TgGlmHMM_2823, TgTigrScan_4748, TgTwinScan_5204, mrna.TGME49_023900A, tigr:cds.TGME49_023900A	
TGME49_223910	-1.2	4.43	4.67	1908.t000532, 42.m00024, TGME49_023910, TgGLEAN_6470, TgGlmHMM_2824, TgTigrScan_4749, TgTwinScan_5205, mrna.TGME49_023910A, tigr:cds.TGME49_023910A	
TGME49_223915	-1.3	0	0.32	1908.t000972, TGME49_023915	
TGME49_223920	1.1	4.04	3.91	1908.t000533, 42.m00026, TGME49_023920, TgGLEAN_6406, TgGlmHMM_2825, TgTigrScan_4750, TgTigrScan_4751, TgTwinScan_5206, mrna.TGME49_023920A, tigr:cds.TGME49_023920A	
TGME49_223930	-1.2	6.03	6.3	1908.t000535, 42.m00025, TGME49_023930, TgGLEAN_6472, TgGlmHMM_2826, TgTigrScan_4753, TgTwinScan_5207, mrna.TGME49_023930A, tigr:cds.TGME49_023930A	
TGME49_223940	-1.1	6.86	6.97	1908.t000536, 42.m08072, TGME49_023940, TgGLEAN_6473, TgGlmHMM_2827, TgTigrScan_4754, TgTwinScan_5208, mrna.TGME49_023940A, tigr:cds.TGME49_023940A	
TGME49_223950	-1.5	3.1	3.67	1908.t000537, 42.m03322, TGME49_023950, TgGLEAN_6474, TgGlmHMM_2828, TgTigrScan_4960, TgTwinScan_5209, mrna.TGME49_023950A, tigr:cds.TGME49_023950A	
TGME49_223960	-1.3	5.14	5.57	1908.t000538, 42.m00027, TGME49_023960, TgGLEAN_6475, TgGlmHMM_2829, TgTigrScan_4960, TgTwinScan_5210, mrna.TGME49_023960A, tigr:cds.TGME49_023960A	
TGME49_223970	-1.3	2.49	2.83	1908.t000539, 42.m00007, TGME49_023970, TgGLEAN_6405, TgGlmHMM_2830, TgTigrScan_4961, TgTwinScan_5211, mrna.TGME49_023970A, tigr:cds.TGME49_023970A	
TGME49_223985	-1.9	1.6	2.54	1908.t000541, 42.m03325, TGME49_023980, TGME49_023990, TgGLEAN_6478, TgGlmHMM_2830, TgGlmHMM_2831, TgTigrScan_4231, TgTwinScan_5212, mrna.TGME49_023980A, mrna.TGME49_023990A, tigr:cds.TGME49_023980A, tigr:cds.TGME49_023990A	
TGME49_224000	-1.1	3.22	3.3	1908.t000542, 42.m03326, TGME49_024000, TgGLEAN_6479, TgGlmHMM_2832, TgTigrScan_4232, TgTwinScan_5213, mrna.TGME49_024000A, tigr:cds.TGME49_024000A	
TGME49_224010	-3	4.12	5.7	1908.t000543, 42.m03327, TGME49_024010, TgGLEAN_6404, TgGlmHMM_2833, TgTigrScan_4233, TgTwinScan_5214, mrna.TGME49_024010A, tigr:cds.TGME49_024010A	
TGME49_224020	-1.5	4.56	5.1	1908.t000544, 42.m07404, TGME49_024020, TgGLEAN_6403, TgGlmHMM_2833, TgTigrScan_4234, TgTwinScan_5215, mrna.TGME49_024020A, tigr:cds.TGME49_024020A	
TGME49_224030	-3.1	2.39	4.01	1908.t000545, 42.m03328, TGME49_024030, TgGLEAN_6480, TgGlmHMM_2834, TgTigrScan_4235, TgTwinScan_5217, mrna.TGME49_024030A, tigr:cds.TGME49_024030A	
TGME49_224040	-2.9	1.4	2.92	1908.t000546, 42.m03329, TGME49_024040, TgGLEAN_6401, TgGlmHMM_2835, TgTwinScan_5218, mrna.TGME49_024040A, tigr:cds.TGME49_024040A	
TGME49_224050	-1.4	3.93	4.47	1908.t000547, 42.m03330, TGME49_024050, TgGLEAN_6481, TgGlmHMM_2836, TgTigrScan_4236, TgTwinScan_5219, mrna.TGME49_024050A, tigr:cds.TGME49_024050A	
TGME49_224060	-1.7	4.6	5.34	1908.t000548, 42.m03331, TGME49_024060, TgGLEAN_6482, TgGlmHMM_2836, TgTigrScan_4236, TgTwinScan_5220, mrna.TGME49_024060A, tigr:cds.TGME49_024060A	
TGME49_224070	-1.4	2.6	3.07	1908.t000549, 42.m03332, TGME49_024070, TgGLEAN_6400, TgGlmHMM_2837, TgTigrScan_4237, TgTigrScan_4238, TgTwinScan_5222, mrna.TGME49_024070A, tigr:cds.TGME49_024070A	
TGME49_224080	-2.4	1.2	2.47	1908.t000550, 42.m03333, TGME49_024080, TgGLEAN_6399, TgGlmHMM_2838, TgTigrScan_4238, TgTwinScan_5223, mrna.TGME49_024080A, tigr:cds.TGME49_024080A	
TGME49_224090	-1.5	3.04	3.64	1908.t000551, 42.m05838, TGME49_024090, TgGLEAN_6397, TgGlmHMM_2838, TgTigrScan_4240, TgTwinScan_5224, mrna.TGME49_024090A, tigr:cds.TGME49_024090A	
TGME49_224100	-1.2	1.83	2.08	1908.t000552, 42.m05827, TGME49_024100, mrna.TGME49_024100A, tigr:cds.TGME49_024100A	
TGME49_224110	-1.2	5.74	5.97	1908.t000553, 42.m00034, TGME49_024110, TgGLEAN_6396, TgGlmHMM_2838, TgTigrScan_4240, TgTwinScan_5225, mrna.TGME49_024110A, tigr:cds.TGME49_024110A	
TGME49_224130	1.1	7.81	7.61	1908.t000554, 42.m03335, TGME49_024130, TgGLEAN_6483, TgGlmHMM_2839, TgTigrScan_4241, TgTwinScan_5226, mrna.TGME49_024130A, tigr:cds.TGME49_024130A	
TGME49_224140	-1.7	0.51	1.28	1908.t000555, TGME49_024140, TgGLEAN_6484, TgGLEAN_6485, TgGlmHMM_2839, TgTigrScan_4242, TgTwinScan_5227, mrna.TGME49_024140A, tigr:cds.TGME49_024140A	
TGME49_224150	-1.4	2.18	2.62	1908.t000556, 42.m03336, TGME49_024150, TgGLEAN_6395, TgGlmHMM_2840, TgTigrScan_4243, TgTwinScan_5228, mrna.TGME49_024150A, tigr:cds.TGME49_024150A	
TGME49_224160	-2	1.87	2.83	1908.t000557, 42.m03337, TGME49_024160, TgGLEAN_6394, TgGlmHMM_2840, TgTigrScan_4243, TgTwinScan_5229, mrna.TGME49_024160A, tigr:cds.TGME49_024160A	
TGME49_224170	-1.4	0.53	1.05	1908.t000558, 42.m03338, TGME49_024170, TgGLEAN_6393, TgGlmHMM_2840, TgTigrScan_4244, TgTwinScan_5230, mrna.TGME49_024170A, tigr:cds.TGME49_024170A	
TGME49_224180	-1.1	0.08	0.26	1908.t000559, 42.m03339, TGME49_024180, TgGLEAN_6486, TgGlmHMM_2841, TgTigrScan_4245, TgTwinScan_5231, mrna.TGME49_024180A, tigr:cds.TGME49_024180A	
TGME49_224190	-1.5	3.51	4.11	1908.t000560, 42.m03340, TGME49_024190, TgGLEAN_6487, TgGlmHMM_2841, TgTigrScan_4245, TgTwinScan_5232, mrna.TGME49_024190A, tigr:cds.TGME49_024190A	
TGME49_224200	-1.2	2.94	3.24	1908.t000561, 42.m03341, TGME49_024200, TgGLEAN_6488, TgGlmHMM_2841, TgTigrScan_4246, TgTwinScan_5233, mrna.TGME49_024200A, tigr:cds.TGME49_024200A	
TGME49_224205	-1.5	5.45	6.08	1908.t000562, TGME49_024205	
TGME49_224210	-1.3	3.79	4.14	1908.t000563, 42.m03341, TGME49_024210, TgGLEAN_6489, TgGlmHMM_2841, TgTigrScan_4246, TgTwinScan_5235, mrna.TGME49_024210A, tigr:cds.TGME49_024210A	
TGME49_224220	-1.4	4.14	4.57	1908.t000564, 42.m03342, TGME49_024220, TgGLEAN_6392, TgGlmHMM_2842, TgTigrScan_4247, TgTwinScan_5237, mrna.TGME49_024220A, tigr:cds.TGME49_024220A	
TGME49_224230	-1.3	3.2	3.54	1908.t000565, 42.m03342, TGME49_024230, TgGLEAN_6390, TgGLEAN_6391, TgGlmHMM_2842, TgTigrScan_4247, TgTigrScan_4248, TgTwinScan_5238, TgTwinScan_5239, mrna.TGME49_024230A, tigr:cds.TGME49_024230A	
TGME49_224235	-1.5	3.94	4.56	1908.t000566, TGME49_024235	
TGME49_224240	-1.4	3.01	3.47	1908.t000567, 42.m03343, TGME49_024240, TgGLEAN_6388, TgGlmHMM_2843, TgTigrScan_4251, TgTwinScan_5241, mrna.TGME49_024240A, tigr:cds.TGME49_024240A	
TGME49_224250	1.4	1.63	1.11	1908.t000568, 42.m07412, TGME49_024250, TgGlmHMM_2844, TgTigrScan_4252, mrna.TGME49_024250A, tigr:cds.TGME49_024250A	
TGME49_224260	-1.2	2.67	2.92	1908.t000569, 42.m03344, TGME49_024260, TgGLEAN_6490, TgGLEAN_6491, TgGlmHMM_2844, TgTigrScan_4253, TgTigrScan_4254, TgTwinScan_5242, TgTwinScan_5244, mrna.TGME49_024260A, tigr:cds.TGME49_024260A	
TGME49_224270	-1.6	1.58	2.23	1908.t000570, 42.m03346, TGME49_024270, TgGLEAN_6492, TgGlmHMM_2844, TgTigrScan_4256, TgTwinScan_5245, mrna.TGME49_024270A, tigr:cds.TGME49_024270A	
TGME49_224275	-1.1	0.3	0.49	1908.t000571, TGME49_024275	
TGME49_224280	-1.3	2.66	3.05	1908.t000572, 42.m03347, TGME49_024280, TgGLEAN_6493, TgGlmHMM_2844, TgTigrScan_4257, TgTigrScan_4258, TgTwinScan_5246, mrna.TGME49_024280A, tigr:cds.TGME49_024280A	
TGME49_224290	-1.2	3.48	3.73	1908.t000573, 42.m00033, TGME49_024290, TgGLEAN_6387, TgGlmHMM_2845, TgTigrScan_4259, TgTwinScan_5247, mrna.TGME49_024290A, tigr:cds.TGME49_024290A	
TGME49_224310	-1.4	3.44	3.96	1908.t000574, 42.m05834, TGME49_024310, TgGLEAN_6387, TgGlmHMM_2845, TgTigrScan_4259, TgTwinScan_5248, mrna.TGME49_024310A, tigr:cds.TGME49_024310A	
TGME49_224320	-1.2	1.46	1.73	1908.t000575, TGME49_024320, TgGLEAN_6386, TgGlmHMM_2845, TgTigrScan_4259, TgTwinScan_5249, mrna.TGME49_024320A, tigr:cds.TGME49_024320A	
TGME49_224330	-1.4	4.53	5	1908.t000576, 42.m03349, TGME49_024330, TgGLEAN_6385, TgGlmHMM_2845, TgTigrScan_4260, TgTwinScan_5251, mrna.TGME49_024330A, tigr:cds.TGME49_024330A	
TGME49_224340	-1.2	4.97	5.18	1908.t000577, 42.m07413, TGME49_024340, TgGLEAN_6494, TgGlmHMM_2846, TgTigrScan_4261, TgTwinScan_5252, mrna.TGME49_024340A, tigr:cds.TGME49_024340A	
TGME49_224350	-1.7	5.88	6.65	1908.t000578, 42.m03350, TGME49_024350, TgGLEAN_6495, TgGLEAN_6496, TgGlmHMM_2846, TgTigrScan_4262, TgTigrScan_4264, TgTwinScan_5253, TgTwinScan_5254, mrna.TGME49_024350A, tigr:cds.TGME49_024350A	
TGME49_224460	-1.3	1.28	1.63	1908.t000579, 42.m00032, TGME49_024460, TgGLEAN_6384, TgGlmHMM_2847, TgTigrScan_4265, TgTwinScan_5255, TgTwinScan_5256, mrna.TGME49_024460A, tigr:cds.TGME49_024460A	
TGME49_224470	1	0	0	1908.t000580, 42.m03352, TGME49_024470, TgGLEAN_6497, TgGlmHMM_2848, TgTigrScan_0790, TgTwinScan_5257, mrna.TGME49_024470A, tigr:cds.TGME49_024470A	
TGME49_224480	-1.6	2.98	3.66	1908.t000581, 42.m00113, TGME49_024480, TgGLEAN_6498, TgGlmHMM_2848, TgTigrScan_0791, TgTwinScan_5258, mrna.TGME49_024480A, tigr:cds.TGME49_024480A	
TGME49_224490	-1.5	3.52	4.09	1908.t000582, 42.m05831, TGME49_024490, TgGLEAN_6383, TgGlmHMM_2849, TgTigrScan_0792, TgTigrScan_2735, TgTwinScan_5259, mrna.TGME49_024490A, tigr:cds.TGME49_024490A	
TGME49_224510	-1.3	2.3	2.66	1908.t000583, 42.m03355, TGME49_024510, TgGLEAN_6499, TgGlmHMM_2850, TgTigrScan_2736, TgTigrScan_2737, TgTwinScan_5260, mrna.TGME49_024510A, tigr:cds.TGME49_024510A	
TGME49_224520	1	3.25	3.22	1908.t000584, 42.m03356, TGME49_024520, TgGLEAN_6382, TgGlmHMM_2851, TgTigrScan_2738, TgTwinScan_5261, mrna.TGME49_024520A, tigr:cds.TGME49_024520A	
TGME49_224530	-1.3	2.96	3.33	1908.t000585, 42.m03357, TGME49_024530, TgGLEAN_6500, TgGLEAN_6501, TgGlmHMM_2852, TgTigrScan_2739, TgTigrScan_2740, TgTwinScan_5262, mrna.TGME49_024530A, tigr:cds.TGME49_024530A	
TGME49_224540	1.2	1.41	1.15	1908.t000586, 42.m03358, TGME49_024540, TgGLEAN_6502, TgGlmHMM_2853, TgTigrScan_2741, TgTwinScan_5263, mrna.TGME49_024540A, tigr:cds.TGME49_024540A	
TGME49_224560	-1.6	0	0.68	1908.t000587, 42.m03359, TGME49_024560, TgGLEAN_6503, TgGlmHMM_2853, TgTigrScan_2743, TgTwinScan_5263, mrna.TGME49_024560A, tigr:cds.TGME49_024560A	
TGME49_224570	-1.2	3.23	3.46	1908.t000588, 42.m03360, TGME49_024570, TgGLEAN_6381, TgGlmHMM_2854, TgTigrScan_2744, TgTwinScan_5264, mrna.TGME49_024570A, tigr:cds.TGME49_024570A	
TGME49_224575	1.1	0.4	0.23	1908.t000589, TGME49_024575	
TGME49_224580	-1.3	5.46	5.81	1908.t000590, 42.m03362, TGME49_024580, TgGLEAN_6504, TgGlmHMM_2855, TgTigrScan_2745, TgTigrScan_2746, TgTwinScan_5265, mrna.TGME49_024580A, tigr:cds.TGME49_024580A	
TGME49_224590	-1.3	3.53	3.9	1908.t000591, 42.m05830, TGME49_024590, TgGLEAN_6380, TgGlmHMM_2856, TgTigrScan_2747, TgTwinScan_5266, mrna.TGME49_024590A, tigr:cds.TGME49_024590A	
TGME49_224600	-1.5	3.43	4	1908.t000592, 42.m03364, TGME49_024600, TgGLEAN_6505, TgGlmHMM_2857, TgTigrScan_2749, TgTwinScan_5267, mrna.TGME49_024600A, tigr:cds.TGME49_024600A	
TGME49_224610	-2	2.58	3.6	1908.t000593, 42.m03365, TGME49_024610, TgGLEAN_6378, TgGlmHMM_2858, TgTigrScan_2750, TgTwinScan_5268, mrna.TGME49_024610A, tigr:cds.TGME49_024610A	
